uid,domainID,siteID,namedLocation,collectDate,processedDate,waterSampleID,waterSampleCode,equilibratedAirSampleID,equilibratedAirSampleCode,referenceAirSampleID,referenceAirSampleCode,storageWaterTemp,ptBarometricPressure,waterVolumeSyringe,gasVolumeSyringe,gasVolumeSample,lowGasVolumeQF,sdgProcessDataQF,publicationDate
cad717d3-020a-4f2c-8b77-e98203176102,D13,COMO,COMO.AOS.S2,2019-07-22T15:34Z,2019-07-22T15:35Z,COMO.SS.20190722,,COMO.SS.20190722.WAT,A00000091026,COMO.SS.20190722.AIR,A00000091010,,71.2,40,20,17,0,,20200224T170705Z
87b60faf-1c5c-49fb-bd9c-d7e7e1c86f33,D13,COMO,COMO.AOS.S2,2019-08-05T16:20Z,2019-08-05T16:14Z,COMO.SS.20190805,,COMO.SS.20190805.WAT,A00000091507,COMO.SS.20190805.AIR,A00000091506,,71.5,40,20,17,0,,20200224T170612Z
8911ae1a-d481-4719-a2bf-da1b3259d3bc,D13,COMO,COMO.AOS.S2,2019-08-20T16:23Z,2019-08-20T16:38Z,COMO.SS.20190820,,COMO.SS.20190820.WAT,A00000091617,COMO.SS.20190820.AIR,A00000091600,,71.6,40,20,17,0,,20200224T170612Z
e71f20d1-0df0-499a-bc39-f26f7e3f1079,D13,COMO,COMO.AOS.S2,2019-08-22T15:45Z,2019-08-22T15:46Z,COMO.SS.20190822,,COMO.SS.20190822.WAT,A00000091598,COMO.SS.20190822.AIR,A00000091614,,71.2,40,20,18,0,,20200224T170612Z
cd20dad7-7f1e-49f4-a5f5-18a138213d85,D13,COMO,COMO.AOS.S2,2019-09-17T15:47Z,2019-09-17T16:14Z,COMO.SS.20190917,,COMO.SS.20190917.WAT,A00000092231,COMO.SS.20190917.AIR,A00000092230,,71.1,40,20,15,0,,20200224T170339Z
5fa99cb8-a838-432c-861c-cf6f67f56b06,D13,COMO,COMO.AOS.S2,2019-09-24T17:06Z,2019-09-24T17:33Z,COMO.SS.20190924,,COMO.SS.20190924.WAT,A00000092439,COMO.SS.20190924.AIR,A00000092422,,71.2,40,20,16,0,,20200224T170339Z
c989591c-8bac-45c3-8f5f-2160bff37bda,D13,COMO,COMO.AOS.S2,2019-10-15T16:00Z,2019-10-15T16:05Z,COMO.SS.20191015,,COMO.SS.20191015.WAT,A00000093369,COMO.SS.20191015.AIR,A00000093386,,71.2,40,20,16,0,,20200309T153640Z
cb029a6a-967d-4fce-a06a-92bd6c669e06,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,2019-11-19T18:55Z,COMO.SS.20191119,,COMO.SS.20191119.WAT,A00000093302,COMO.SS.20191119.AIR,A00000093303,,71.6,40,20,17,0,,20200406T161120Z
49d050e0-b5c6-46d5-a4fa-4c8765f6a7a1,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,2019-11-19T18:55Z,COMO.SS.20191119.3,,COMO.SS.20191119.WAT.3,A00000093287,COMO.SS.20191119.AIR,A00000093303,,71.6,40,20,15,0,,20200406T161120Z
5a992a42-f96e-464f-92bb-c80a546cef27,D13,COMO,COMO.AOS.S2,2019-11-19T18:15Z,2019-11-19T18:55Z,COMO.SS.20191119.2,,COMO.SS.20191119.WAT.2,A00000093286,COMO.SS.20191119.AIR,A00000093303,,71.6,40,20,17,0,,20200406T161120Z
7dd36a4e-2a0f-4b9f-88a5-e4a434fd3354,D13,COMO,COMO.AOS.S2,2019-12-17T17:45Z,2019-12-17T18:15Z,COMO.SS.20191217,,COMO.SS.20191217.WAT,A00000134869,COMO.SS.20191217.AIR,A00000134870,,70.6,40,20,18,0,,20200504T161049Z
